s_L,s_R,b2,b1,b0,a3,a2,a1,a0
0.0100,0.1000,0.000000,1.013035,1.013946,1.000000,1.035526,0.991299,1.021081
0.0100,0.1100,0.000000,1.012068,1.013058,1.000000,1.033580,0.987957,1.019990
0.0100,0.1200,0.000000,1.013299,1.014264,1.000000,1.035947,0.991336,1.021206
0.0100,0.1300,0.000000,1.012300,1.013347,1.000000,1.033897,0.987904,1.020040
0.0100,0.1400,0.000000,1.012832,1.013806,1.000000,1.035674,0.990017,1.021337
0.0100,0.1500,0.000000,1.012231,1.013195,1.000000,1.034235,0.988779,1.020506
0.0100,0.1600,0.000000,1.012870,1.013895,1.000000,1.035588,0.989491,1.021178
0.0100,0.1700,0.000000,1.012411,1.013572,1.000000,1.033581,0.987135,1.019562
0.0100,0.1800,0.000000,1.012817,1.013889,1.000000,1.035268,0.988859,1.020881
0.0100,0.1900,0.000000,1.012169,1.013227,1.000000,1.033715,0.987564,1.019989
0.0100,0.2000,0.000000,1.012669,1.013784,1.000000,1.034733,0.988061,1.020470
0.0100,0.2100,0.000000,1.013175,1.014349,1.000000,1.035774,0.988601,1.020969
0.0100,0.2200,0.000000,1.013716,1.014954,1.000000,1.036894,0.989240,1.021513
0.0100,0.2300,0.000000,1.013063,1.014290,1.000000,1.035320,0.987860,1.020594
0.0100,0.2400,0.000000,1.013492,1.014782,1.000000,1.036202,0.988247,1.021010
0.0100,0.2500,0.000000,1.013861,1.015215,1.000000,1.036977,0.988456,1.021377
0.0100,0.2600,0.000000,1.014228,1.015650,1.000000,1.037728,0.988681,1.021721
0.0100,0.2700,0.000000,1.014628,1.016119,1.000000,1.038537,0.989028,1.022094
0.0100,0.2800,0.000000,1.015028,1.016593,1.000000,1.039362,0.989364,1.022480
0.0100,0.2900,0.000000,1.015220,1.016834,1.000000,1.039678,0.989536,1.022591
0.0100,0.3000,0.000000,1.015525,1.017210,1.000000,1.040294,0.989748,1.022868
0.0100,0.3100,0.000000,1.014522,1.016174,1.000000,1.037944,0.987763,1.021526
0.0100,0.3200,0.000000,1.015813,1.017635,1.000000,1.040876,0.989385,1.023082
0.0100,0.3300,0.000000,1.015976,1.017867,1.000000,1.041180,0.989373,1.023192
0.0100,0.3400,0.000000,1.016099,1.018061,1.000000,1.041404,0.989240,1.023258
0.0100,0.3500,0.000000,1.016054,1.018080,1.000000,1.041269,0.988732,1.023128
0.0100,0.3600,0.000000,1.017238,1.019597,1.000000,1.044299,0.987122,1.024620
0.0100,0.3700,0.000000,1.017202,1.019632,1.000000,1.044165,0.986733,1.024486
0.0100,0.3800,0.000000,1.016997,1.019491,1.000000,1.043631,0.985925,1.024116
0.0100,0.3900,0.000000,1.018038,1.020898,1.000000,1.046319,0.984091,1.025380
0.0100,0.4000,0.000000,1.017832,1.020591,1.000000,1.045531,0.986800,1.025075
0.0100,0.4100,0.000000,1.032119,1.034714,1.000000,1.078480,1.026160,1.045464
0.0100,0.4200,0.000000,1.028706,1.031069,1.000000,1.069953,1.023264,1.040665
0.0100,0.4300,0.000000,1.025783,1.027951,1.000000,1.062697,1.020819,1.036548
